Mes;Total Nacional;Agricultura, ganadería y pesca;Minas y canteras;Manufactura;Suministro de Electricidad Gas Vapor y Aire acondicionado;Distribución de Agua Alcantarillado y gestión de desechos;Construcción;Comercio;Transporte y almacenamiento;Actividades de Alojamiento;Información y comunicación;Financieras y seguros;Actividades inmobiliarias;Actividades profesionales;Actividades de servicios administrativos y de apoyo;Administración pública y defensa;Enseñanza;Actividades de atención a salud;Actividades entretenimiento;Otras actividades de servicios;Actividades de los hogares como empleadores domésticos;Actividades de Organizaciones
ene-22;12,931;912;175;2,030;269;56;231;6,163;552;160;340;451;232;460;193;68;134;298;24;180;1;0
feb-22;13,152;923;243;2,076;299;63;281;5,958;574;185;361;470;237;464;218;66;164;372;26;169;1;0
mar-22;15,102;1,049;517;2,368;265;55;365;6,825;637;193;399;466;269;536;252;84;258;342;34;186;1;0
abr-22;14,838;967;474;2,312;291;63;379;6,725;661;207;380;451;268;587;244;75;209;329;28;186;1;0
may-22;15,177;1,043;393;2,429;287;60;334;7,040;666;207;387;454;286;552;250;89;176;305;30;188;1;0
jun-22;20,385;1,862;466;2,636;276;66;539;8,264;1,536;395;456;453;390;1,086;374;71;257;765;64;423;3;0
jul-22;15,173;1,095;404;2,399;266;61;394;7,010;639;215;387;456;279;548;268;78;118;336;28;192;1;0
ago-22;15,824;1,049;402;2,513;282;61;463;7,290;714;227;411;478;275;570;278;72;197;319;35;187;1;0
sep-22;15,681;967;461;2,442;277;61;427;7,149;731;205;411;521;277;593;260;73;289;320;34;180;1;0
oct-22;15,636;1,015;420;2,414;281;57;452;7,145;704;227;398;493;285;617;259;74;227;342;33;191;1;0
nov-22;16,033;993;504;2,479;283;60;479;7,285;713;206;422;489;305;634;360;77;160;372;33;179;1;0
dic-22;26,591;2,225;534;3,338;319;85;1,001;10,646;1,897;496;608;582;538;1,757;569;86;291;996;101;513;3;0
ene-23;14,281;958;271;2,178;312;57;290;6,646;753;199;384;505;254;502;225;90;156;284;36;180;0;0
feb-23;13,764;927;422;2,047;352;58;318;6,096;727;193;370;460;250;520;244;67;171;357;28;155;0;0
mar-23;15,942;1,054;562;2,417;324;59;389;6,987;784;224;414;563;286;619;278;88;285;401;34;172;1;0
abr-23;14,759;951;473;2,178;311;63;427;6,538;760;200;399;501;276;624;267;88;211;296;29;166;0;0
may-23;15,616;1,037;476;2,366;313;50;412;7,014;783;213;410;545;289;597;264;91;184;379;33;159;0;0
jun-23;21,762;1,857;501;2,880;332;65;548;8,728;1,862;405;478;552;410;1,097;406;84;262;896;61;386;2;0
jul-23;16,634;1,102;503;2,521;324;63;474;7,665;794;251;431;563;306;634;305;81;141;393;30;190;0;0
ago-23;16,978;1,072;495;2,589;325;64;504;7,843;817;265;449;564;303;637;304;80;223;379;34;178;0;0
sep-23;17,130;1,074;528;2,600;309;65;522;7,868;825;246;445;584;306;669;290;79;322;400;36;191;1;0
oct-23;17,278;1,159;508;2,683;332;64;540;7,959;816;269;442;592;313;687;294;79;246;394;33;200;0;0
nov-23;17,732;1,161;527;2,720;342;66;584;8,243;826;260;454;590;328;713;396;79;184;406;34;183;0;0
dic-23;27,542;2,230;570;3,496;358;80;1,126;11,114;2,138;530;629;698;578;1,767;594;79;303;1,131;77;507;2;0
ene-24;15,532;1,075;389;2,397;340;64;349;7,479;794;235;399;600;277;538;249;79;177;358;34;189;0;0
feb-24;15,293;1,103;481;2,344;352;65;402;7,060;783;239;404;579;276;557;267;79;198;434;29;161;0;0
mar-24;16,835;1,188;575;2,557;348;64;465;7,731;818;262;438;611;299;632;303;79;306;465;35;186;0;0
abr-24;15,772;1,133;560;2,415;358;65;459;7,260;783;241;422;571;285;639;289;79;234;401;29;180;0;0
may-24;16,511;1,217;519;2,591;347;63;441;7,817;806;252;432;592;297;610;290;79;203;438;31;171;0;0
jun-24;21,899;2,036;536;2,994;341;69;578;9,243;1,843;445;482;590;404;1,075;419;79;275;983;51;392;2;0
jul-24;16,892;1,210;541;2,621;333;67;502;8,113;791;281;435;609;304;622;317;79;150;423;28;195;0;0
ago-24;17,269;1,174;534;2,692;343;67;533;8,304;817;296;454;614;301;626;320;79;235;399;33;180;0;0
sep-24;17,450;1,160;568;2,703;329;68;552;8,334;827;276;449;629;304;658;302;79;337;413;34;191;0;0
oct-24;17,624;1,241;547;2,790;345;67;570;8,428;821;300;446;637;310;676;306;79;259;421;32;204;0;0
