Nombre;Ventas anual;rama
CORPORACION FAVORITA C.A.;2355580171;Comercio
CORPORACION EL ROSADO S.A.;1431995152;Comercio
INDUSTRIAL PESQUERA SANTA PRISCILA S.A.;1412874281;Agricultura, ganadería y pesca
ECUACORRIENTE S.A.;1180396602;Minas y canteras
PRIMAX COMERCIAL DEL ECUADOR SOCIEDAD ANONIMA;1162299146;Comercio
PROCESADORA NACIONAL DE ALIMENTOS C.A. PRONACA;1076259837;Manufactura
CONSORCIO ECUATORIANO DE TELECOMUNICACIONES S.A. CONECEL;1041851015;Información y comunicación
DINADEC S.A.;1033549701;Comercio
DISTRIBUIDORA FARMACEUTICA ECUATORIANA (DIFARE) S.A.;897871392.3;Comercio
AURELIAN ECUADOR S.A;889974047.3;Minas y canteras
PETROLEOS Y SERVICIOS PYS C.A.;858952830.5;Comercio
SHAYA ECUADOR S.A.;848005611.4;Minas y canteras
TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.;776159786.9;Comercio
TERPEL-COMERCIAL ECUADOR CIA.LTDA.;724742553.9;Comercio
LA FABRIL S.A.;710280986.4;Manufactura
VITAPRO ECUADOR CIA. LTDA.;646986297;Comercio
SCHLUMBERGER DEL ECUADOR S.A.;627431741.5;Minas y canteras
GENERAL MOTORS DEL ECUADOR SA;618724713.1;Comercio
FARMAENLACE CIA. LTDA;571529827;Comercio
ANDES PETROLEUM ECUADOR LTD.;563335259.7;Minas y canteras
ATIMASA S.A.;543708748.3;Comercio
LETERAGO DEL ECUADOR S.A;528551906.6;Comercio
SOCIEDAD NACIONAL DE GALAPAGOS CA;528425781;Manufactura
AC BEBIDAS, S. DE R.L. DE C.V.;523991839.9;Manufactura
NIRSA S.A.;520248808.2;Comercio
OTECEL S.A.;514067176.6;Información y comunicación
CONSORCIO SHUSHUFINDI S.A.;510204597.7;Minas y canteras
AGRIPAC SA;500514253.4;Comercio
NESTLE ECUADOR S.A.;455829054;Manufactura
INDUSTRIAL DANEC SA;410454092.5;Manufactura
HOLCIM ECUADOR S.A.;391574647.6;Manufactura
NOVACERO S.A;389036833.5;Manufactura
EXPALSA EXPORTADORA DE ALIMENTOS SA;377614841;Manufactura
CERVECERIA NACIONAL CN S.A.;374957391.7;Manufactura
ACERIA DEL ECUADOR CA ADELCA.;360387532.7;Manufactura
DISTRIVEHIC DISTRIBUIDORA DE VEHÍCULOS S.A.S.;344704639.8;Comercio
PETROLEOS DE LOS RIOS PETROLRIOS C.A.;341816037.4;Comercio
DISTRIBUIDORA IMPORTADORA DIPOR S.A.;338463501.2;Comercio
COMERCIAL KYWI SA;329034459.7;Comercio
