Mes;Total Nacional;Agricultura, ganadería y pesca;Minas y canteras;Manufactura;Suministro de Electricidad Gas Vapor y Aire acondicionado;Distribución de Agua Alcantarillado y gestión de desechos;Construcción;Comercio;Transporte y almacenamiento;Actividades de Alojamiento;Información y comunicación;Financieras y seguros;Actividades inmobiliarias;Actividades profesionales;Actividades de servicios administrativos y de apoyo;Administración pública y defensa;Enseñanza;Actividades de atención a salud;Actividades entretenimiento;Otras actividades de servicios;Actividades de los hogares como empleadores domésticos;Actividades de Organizaciones
ene 2011;8404.852217;423.5008591;84.18917633;1405.805114;161.6673914;21.41746415;264.4187618;3759.838539;367.3456368;114.6971849;304.8229684;325.0425343;241.8939615;387.3767273;125.8398522;46.83789807;114.8426424;110.4007986;16.81796881;126.6972513;0.84220381;0.16882593
feb 2011;8507.860581;425.9173953;154.8438112;1421.282887;172.8252151;21.34363054;233.1115803;3705.591382;447.788741;115.7659717;315.5164448;316.3399611;247.6353829;417.2180268;135.2039748;49.24045857;76.07140881;95.69047526;18.96062999;136.1648997;0.82814932;0.15108169
mar 2011;9351.70298;465.9973125;223.3730393;1539.180322;180.5334537;22.7735602;259.5668466;4059.055385;498.4631216;124.3173235;333.6317368;303.6333908;266.7060555;449.5140069;148.3055749;45.22822912;139.4346245;100.6118384;20.00321742;169.6799457;0.95933432;0.31433164
abr 2011;9560.989439;466.7469493;315.6531309;1496.109552;184.4019475;23.60352391;446.151282;4038.171581;449.300794;126.8450084;349.265701;329.5096963;273.660971;481.6287911;145.4755964;48.81582403;116.9526377;101.4426824;17.81605122;147.8092205;0.9078188;0.22023302
may 2011;9757.341859;488.8694141;248.7431906;1590.858813;175.823041;22.01250538;277.5733586;4307.282458;488.2494484;131.0968973;348.5025402;333.6157646;286.9606585;471.7523726;151.8257784;48.48284083;110.5724503;104.2929962;19.80573329;149.1829436;0.97870976;0.38821502
jun 2011;11688.50498;717.1436943;279.9608165;1810.516149;172.6068778;25.38570738;377.3915649;4648.493829;863.9435486;143.9847317;364.1017098;316.3615174;342.5907478;703.6017202;163.4503543;52.21393904;164.1740916;323.4898488;23.1148863;191.4819282;3.49371306;0.23545266
jul 2011;9680.952344;443.7467298;278.958117;1564.869157;163.493118;24.23251074;360.6619577;4186.295069;426.1483409;141.0620027;353.6511805;346.5050678;284.1417948;487.0695466;167.6913509;56.09069964;89.60992387;132.12908;21.96080348;150.9108549;1.05070781;0.30183798
ago 2011;10183.63242;463.325777;262.1908285;1667.570561;172.6764476;25.19806809;348.0850891;4493.439977;450.2786619;139.5810666;368.070589;307.5381475;300.5658302;527.9561525;164.5206962;53.1943164;141.9114289;128.8676852;20.86297799;146.1039905;1.04982576;0.24158442
sep 2011;10263.99383;452.6385423;268.3929642;1681.803461;176.7000171;27.92726816;393.8044187;4473.684914;446.3696856;134.6927215;369.2055446;348.355946;299.6966895;499.9900661;155.8782024;49.75013268;168.2333241;134.1313315;21.75969673;159.2141268;1.08724636;0.28136179
oct 2011;10333.77034;462.3217913;261.9416703;1683.051101;177.213793;23.70454714;369.7974956;4493.659775;455.687031;139.3324975;377.7155004;344.7894851;308.2451398;564.6549254;170.2153742;57.98775466;131.3084986;129.0752984;22.27387332;158.9364674;1.22796638;0.17240959
nov 2011;10499.84642;463.0443127;286.0019728;1679.993762;177.0306913;24.83345538;444.1953523;4590.475455;447.8901272;142.8962452;373.5101634;360.4527471;310.6254798;554.0540757;173.556938;54.16917682;112.423258;117.9647237;23.93350514;160.8158086;1.26955009;0.2808675
dic 2011;15290.52984;881.900983;398.4713227;2244.63342;180.7996212;31.41273792;599.8898764;6030.266376;1037.631143;196.0592004;419.9697506;402.4202696;522.3389067;1177.779516;227.2634221;66.20303538;183.2102051;376.7146286;40.14992087;267.1248648;5.13021641;0.21245168
ene 2012;9352.022212;446.3347569;230.8012303;1514.591832;163.8456757;24.20448944;270.0649148;4145.815894;401.6463834;133.0317158;336.2658608;366.423847;273.4587059;416.2108419;148.6065721;50.16627302;121.3528388;133.9744232;19.89417057;153.6064934;1.02733891;0.2785574
feb 2012;10376.54296;1382.22414;264.8102838;1502.1396;169.7669423;23.93744085;374.6142725;4008.915951;434.9810127;137.5755357;350.1522103;343.8495066;318.1788149;434.3033584;158.9463415;60.19594905;97.40274538;141.4666729;23.12161844;148.1580872;1.04694723;0.26937434
mar 2012;10557.55903;497.2109527;259.9382725;1715.021718;169.3724584;24.78831928;333.2532974;4561.80891;464.6267032;150.4147441;379.6287024;376.1486427;326.5614103;522.1047247;174.597151;60.6014472;164.5135024;172.0288144;24.91334821;178.0324614;1.14968742;0.25901639
abr 2012;10318.15949;479.8794433;264.7260295;1638.693494;177.6460726;25.38737354;344.8780757;4482.411093;440.080431;145.2712778;394.6699738;367.6739637;328.8870056;511.5157523;175.680947;60.13253401;117.8364701;157.3576462;23.2190639;180.1063377;1.30772211;0.36130089
may 2012;11103.13386;517.0709736;277.8406309;1806.6138;182.5609681;26.69507415;308.6218988;4906.690107;499.1054008;155.9718832;395.1261489;397.3576274;336.4839174;567.5406373;181.4643883;64.41892597;130.6199871;155.7737153;22.94956746;168.3105436;1.21440057;0.22661055
jun 2012;12904.11423;776.7704694;278.5549011;2005.094072;181.5299877;26.62809514;415.3119454;5093.173141;955.877739;171.31963;391.444125;359.5325798;406.5076824;783.0810386;190.2574377;79.59540852;171.0134176;373.6887282;30.97389601;208.6152759;4.06617905;0.27983164
jul 2012;11039.76589;495.4809951;297.5870551;1771.635968;182.023115;27.3625897;447.6485937;4794.771994;481.0130367;160.3179713;401.9474208;376.0673441;332.5022826;562.4970459;201.409916;58.67099646;102.1881389;157.0280168;24.86964933;162.8735565;1.22169745;0.21293023
ago 2012;11341.68481;488.8919147;320.1083197;1799.853821;185.64169;29.81385239;409.9143766;4902.7278;490.4580538;165.2068847;439.2494001;375.4912898;338.5898171;600.0513343;198.1221966;59.13211947;162.552702;163.9286307;24.90726432;184.8867014;1.38325182;0.27693571
