ciiu,descripcion
A              ,"AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA."
A01            ,"AGRICULTURA, GANADERÍA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS."
A011           ,CULTIVO DE PLANTAS NO PERENNES.
A0111          ,"CULTIVO DE CEREALES (EXCEPTO ARROZ), LEGUMBRES Y SEMILLAS OLEAGINOSAS."
A0111.1        ,CULTIVO DE CEREALES.
A0111.11       ,CULTIVO DE TRIGO.
A0111.12       ,CULTIVO DE MAÍZ.
A0111.13       ,CULTIVO DE QUINUA.
A0111.19       ,"OTROS CULTIVOS DE CEREALES N.C.P.: SORGO, CEBADA, CENTENO, AVENA, MIJO, ETCÉTERA."
A0111.2        ,CULTIVO DE LEGUMBRES.
A0111.21       ,CULTIVO DE FRÉJOL.
A0111.22       ,CULTIVO DE ARVEJA.
A0111.23       ,CULTIVO DE LENTEJA.
A0111.29       ,"OTROS CULTIVOS LE LEGUMBRES: HABAS, GARBANZOS, VAINITAS, CHOCHO (ALTRAMUCES), ETCÉTERA."
A0111.3        ,CULTIVO DE GRANOS Y SEMILLAS OLEAGINOSAS.
A0111.31       ,CULTIVO DE GRANOS Y SEMILLAS DE SOYA.
A0111.32       ,CULTIVO DE SEMILLAS DE MANÍ.
A0111.39       ,"OTROS CULTIVOS DE SEMILLAS OLEAGINOSAS: SEMILLAS DE RICINO, SEMILLAS DE LINAZA, SEMILLAS DE MOSTAZA, SEMILLAS DE GIRASOL,  SEMILLAS DE AJONJOLÍ (SÉSAMO), SEMILLAS DE COLZA, SEMILLAS DE CÁRTAMO, SEMILLAS DE NÍGER, ETCÉTERA."
A0112          ,CULTIVO DE ARROZ.
A0112.0        ,CULTIVO DE ARROZ.
A0112.00       ,CULTIVO DE ARROZ (INCLUIDO EL CULTIVO ORGÁNICO Y EL CULTIVO DE ARROZ GENÉTICAMENTE MODIFICADO).
A0113          ,"CULTIVO DE HORTALIZAS Y MELONES, RAÍCES Y TUBÉRCULOS."
A0113.1        ,CULTIVO DE HORTALIZAS DE HOJA O DE TALLO.
A0113.11       ,"CULTIVO DE BRÓCOLI, COL Y COLIFLOR."
A0113.12       ,CULTIVO DE ALCACHOFA Y ESPÁRRAGO.
A0113.19       ,"OTROS CULTIVOS DE HORTALIZAS DE HOJA O DE TALLO, ESPINACA, LECHUGA, BERROS, APIO, PEREJIL, ACELGA, ETCÉTERA."
A0113.2        ,CULTIVO DE HORTALIZAS DE FRUTO.
A0113.21       ,"CULTIVO DE TOMATES (EXCEPTO TOMATE DE ÁRBOL),  PEPINILLOS Y SIMILARES."
A0113.22       ,"CULTIVO DE SANDÍAS, MELONES."
A0113.29       ,"OTROS CULTIVOS DE HORTALIZAS DE FRUTO, ZAPALLO, SAMBO, ZUQUINI, BERENJENAS, ETCÉTERA."
A0113.3        ,CULTIVO DE HORTALIZAS DE RAÍCES BULBOSAS O TUBEROSAS.
A0113.31       ,"CULTIVO DE CEBOLLAS PAITEÑAS, CEBOLLAS PERLA, CEBOLLAS EN RAMA (PUERROS), AJOS."
A0113.32       ,"CULTIVO DE ZANAHORIA AMARILLA, RÁBANO, REMOLACHA (BETERABA), (EXCEPTO LA REMOLACHA AZUCARERA)."
A0113.39       ,"OTROS CULTIVOS DE HORTALIZAS DE RAÍCES BULBOSAS O TUBEROSAS: PAPANABO, ETCÉTERA."
A0113.4        ,CULTIVO TUBÉRCULOS.
A0113.41       ,CULTIVO DE PAPA.
A0113.42       ,CULTIVO DE YUCA.
A0113.49       ,"OTROS CULTIVOS DE RAÍCES Y TUBÉRCULOS, CAMOTE (BATATA), MELLOCO, OCA, MASHUA, ZANAHORIA BLANCA, PAPA CHINA, ETCÉTERA."
A0113.9        ,CULTIVO DE OTRAS HORTALIZAS.
A0113.91       ,CULTIVO DE HONGOS (CHAMPIÑONES) Y TRUFAS.
A0113.92       ,CULTIVO DE SEMILLAS VEGETALES EXCEPTO SEMILLAS DE REMOLACHA.
A0113.93       ,CULTIVO DE REMOLACHA AZUCARERA.
A0113.99       ,CULTIVO DE OTRAS HORTALIZAS.
